slug,location
beijing-2022,China
tokyo-2020,Japan
pyeongchang-2018,Republic of Korea
rio-2016,Brazil
sochi-2014,Russian Federation
london-2012,Great Britain
vancouver-2010,Canada
beijing-2008,China
turin-2006,Italy
athens-2004,Greece
salt-lake-city-2002,United States of America
sydney-2000,Australia
nagano-1998,Japan
atlanta-1996,United States of America
lillehammer-1994,Norway
barcelona-1992,Spain
albertville-1992,France
seoul-1988,Republic of Korea
calgary-1988,Canada
los-angeles-1984,United States of America
sarajevo-1984,Yugoslavia
moscow-1980,Soviet Union
lake-placid-1980,United States of America
montreal-1976,Canada
innsbruck-1976,Austria
munich-1972,Federal Republic of Germany
sapporo-1972,Japan
mexico-city-1968,Mexico
grenoble-1968,France
tokyo-1964,Japan
innsbruck-1964,Austria
rome-1960,Italy
squaw-valley-1960,United States of America
melbourne-1956,Australia
cortina-d-ampezzo-1956,Italy
helsinki-1952,Finland
oslo-1952,Norway
london-1948,Great Britain
st-moritz-1948,Switzerland
berlin-1936,Germany
garmisch-partenkirchen-1936,Germany
los-angeles-1932,United States of America
lake-placid-1932,United States of America
amsterdam-1928,Netherlands
st-moritz-1928,Switzerland
paris-1924,France
chamonix-1924,France
antwerp-1920,Belgium
stockholm-1912,Sweden
london-1908,Great Britain
st-louis-1904,United States of America
paris-1900,France
athens-1896,Greece
